id_country;country;start_place;start_day;start_month;start_h;start_min;start_seg;end_day;end_month;end_h;end_min;end_seg;user_time
18;Polonia;Plazoleta de Farray;13;12;20;59;23;14;12;8;6;9; 11:06:46
20;Hungría;C.C. El Muelle;2;12;12;51;2;2;12;21;54;10; 09:03:08
14;Finlandia;Plaza de España (elect.);27;12;11;12;16;27;12;19;50;51; 08:38:35
11;Reino Unido;Teatro Pérez Galdós;27;12;22;18;4;28;12;6;37;52; 08:19:48
11;Reino Unido;Churruca;30;12;22;29;17;31;12;6;47;42; 08:18:25
19;Rep. Checa;Parque del Estadio Insular;7;12;22;54;21;8;12;6;53;7; 07:58:46
18;Polonia;Base Naval;18;12;14;55;19;18;12;22;3;34; 07:08:15
19;Rep. Checa;Parque Santa Catalina;26;12;11;58;3;26;12;17;56;23; 05:58:20
19;Rep. Checa;Base Naval;21;12;11;26;45;21;12;17;13;20; 05:46:35
11;Reino Unido;C.C. El Muelle;4;12;15;51;7;4;12;21;35;57; 05:44:50
11;Reino Unido;Plaza de España (elect.);5;12;11;21;25;5;12;16;58;18; 05:36:53
7;Eslovaquia;Parque Santa Catalina;26;12;12;11;12;26;12;17;47;40; 05:36:28
26;USA / Canada;Parque Santa Catalina;13;12;17;38;37;13;12;23;10;13; 05:31:36
26;USA / Canada;Parque Santa Catalina;13;12;17;38;27;13;12;23;9;41; 05:31:14
11;Reino Unido;Plaza de España (elect.);4;12;11;12;46;4;12;16;43;37; 05:30:51
17;Suiza;Torre Las Palmas;1;12;12;18;6;1;12;17;48;56; 05:30:50
15;Italia;Plaza de la feria;4;12;6;31;48;4;12;11;59;14; 05:27:26
1;Alemania;Plaza del Pilar;14;12;8;50;7;14;12;14;15;30; 05:25:23
17;Suiza;Castillo de Mata (elect.);14;12;12;4;22;14;12;17;25;12; 05:20:50
11;Reino Unido;Plaza de España (elect.);5;12;11;41;52;5;12;16;57;46; 05:15:54
18;Polonia;Las Canteras - Luis Morote;25;12;16;30;35;25;12;21;32;17; 05:01:42
13;Rumanía;Plaza de la feria;20;12;17;41;15;20;12;22;41;38; 05:00:23
25;Noruega;Torre Woermann;27;12;11;14;18;27;12;16;3;19; 04:49:01
2;Austria;Plaza de la feria;15;12;10;10;44;15;12;14;57;30; 04:46:46
25;Noruega;Torre Woermann;27;12;11;21;56;27;12;16;3;59; 04:42:03
11;Reino Unido;Plazoleta de Farray;2;12;14;36;30;2;12;19;17;0; 04:40:30
16;Irlanda;Torre Woermann;22;12;13;30;56;22;12;18;5;48; 04:34:52
16;Irlanda;Torre Woermann;22;12;13;30;51;22;12;18;5;17; 04:34:26
1;Alemania;Mercado Central;2;12;11;4;55;2;12;15;37;4; 04:32:09
16;Irlanda;Torre Woermann;22;12;13;33;58;22;12;18;5;50; 04:31:52
15;Italia;San Telmo;4;12;16;55;34;4;12;21;25;58; 04:30:24
8;Eslovenia;León y Castillo;17;12;9;45;34;17;12;14;15;10; 04:29:36
11;Reino Unido;Castillo de Mata (elect.);4;12;12;14;37;4;12;16;43;29; 04:28:52
16;Irlanda;Torre Woermann;22;12;13;37;1;22;12;18;5;31; 04:28:30
1;Alemania;Plaza del Pilar;7;12;8;46;16;7;12;12;55;57; 04:09:41
26;USA / Canada;Oficina de la Sitycleta;22;12;11;43;33;22;12;15;35;3; 03:51:30
15;Italia;Muelle Deportivo;30;12;11;5;34;30;12;14;53;14; 03:47:40
1;Alemania;Oficina de la Sitycleta;13;12;19;8;15;13;12;22;54;55; 03:46:40
9;Países Bajos;Plaza Manuel Becerra (elect.);6;12;17;23;24;6;12;21;9;2; 03:45:38
14;Finlandia;Torre Woermann;3;12;13;37;43;3;12;17;22;0; 03:44:17
13;Rumanía;C.C. El Muelle;31;12;15;4;5;31;12;18;48;16; 03:44:11
11;Reino Unido;Las Canteras - Luis Morote;21;12;11;22;23;21;12;15;6;11; 03:43:48
9;Países Bajos;Plaza Manuel Becerra (elect.);6;12;17;26;43;6;12;21;9;11; 03:42:28
11;Reino Unido;Plaza Manuel Becerra (elect.);28;12;14;3;22;28;12;17;35;25; 03:32:03
11;Reino Unido;Plaza Manuel Becerra (elect.);28;12;14;3;9;28;12;17;35;11; 03:32:02
9;Países Bajos;Torre Woermann;21;12;14;17;7;21;12;17;44;56; 03:27:49
1;Alemania;Plaza O'Shanahan;4;12;13;52;15;4;12;17;18;35; 03:26:20
6;Dinamarca;Plaza O'Shanahan;6;12;14;31;38;6;12;17;51;17; 03:19:39
19;Rep. Checa;Plaza del Pilar;20;12;9;50;47;20;12;13;7;3; 03:16:16
18;Polonia;Muelle Deportivo;10;12;11;35;16;10;12;14;46;56; 03:11:40
19;Rep. Checa;Plaza del Pilar;20;12;10;1;26;20;12;13;11;37; 03:10:11
16;Irlanda;Parque Santa Catalina;4;12;15;58;44;4;12;19;8;6; 03:09:22
16;Irlanda;Churruca;4;12;15;45;44;4;12;18;55;0; 03:09:16
16;Irlanda;San Telmo;12;12;18;8;34;12;12;21;17;2; 03:08:28
1;Alemania;Base Naval;23;12;14;15;55;23;12;17;22;4; 03:06:09
1;Alemania;Paseo de Chil - Av. Escaleritas;20;12;13;59;43;20;12;17;4;2; 03:04:19
11;Reino Unido;Torre Woermann;7;12;17;9;43;7;12;20;11;29; 03:01:46
1;Alemania;Ayuntamiento;25;12;14;34;17;25;12;17;35;6; 03:00:49
18;Polonia;Base Naval;16;12;13;53;8;16;12;16;51;51; 02:58:43
10;Francia;Churruca;26;12;21;5;46;27;12;0;1;45; 02:55:59
10;Francia;Churruca;26;12;21;6;57;27;12;0;1;21; 02:54:24
10;Francia;Churruca;26;12;21;8;12;27;12;0;1;39; 02:53:27
1;Alemania;Castillo de Mata (elect.);18;12;11;18;34;18;12;14;11;12; 02:52:38
1;Alemania;Castillo de Mata (elect.);18;12;11;19;13;18;12;14;11;5; 02:51:52
15;Italia;Plaza Manuel Becerra;2;12;9;47;44;2;12;12;28;26; 02:40:42
13;Rumanía;Las Canteras - Luis Morote;20;12;10;53;43;20;12;13;34;21; 02:40:38
17;Suiza;Torre Las Palmas;16;12;13;6;6;16;12;15;42;43; 02:36:37
9;Países Bajos;C.C. La Minilla;4;12;16;34;34;4;12;19;8;43; 02:34:09
9;Países Bajos;C.C. La Minilla;4;12;16;35;4;4;12;19;8;47; 02:33:43
6;Dinamarca;Torre Woermann;23;12;13;34;44;23;12;16;6;21; 02:31:37
1;Alemania;C.C. El Muelle;24;12;13;10;22;24;12;15;40;31; 02:30:09
1;Alemania;Plaza O'Shanahan;9;12;14;42;58;9;12;17;12;58; 02:30:00
1;Alemania;C.C. El Muelle;24;12;13;10;38;24;12;15;40;36; 02:29:58
1;Alemania;Vega de San José;31;12;20;11;13;31;12;22;39;18; 02:28:05
11;Reino Unido;San Bernardo;10;12;12;44;4;10;12;15;9;53; 02:25:49
1;Alemania;Parque Santa Catalina;9;12;9;8;58;9;12;11;34;40; 02:25:42
1;Alemania;Plaza del Pilar;21;12;18;37;5;21;12;21;2;44; 02:25:39
11;Reino Unido;Plaza de la feria;31;12;14;58;28;31;12;17;23;40; 02:25:12
11;Reino Unido;Plaza de la feria;31;12;14;59;19;31;12;17;23;55; 02:24:36
1;Alemania;Parque del Estadio Insular;12;12;16;10;0;12;12;18;34;18; 02:24:18
9;Países Bajos;Teatro Pérez Galdós;22;12;10;48;20;22;12;13;11;58; 02:23:38
1;Alemania;Las Canteras - Luis Morote;22;12;20;54;7;22;12;23;17;9; 02:23:02
6;Dinamarca;Torre Woermann;23;12;13;43;46;23;12;16;5;34; 02:21:48
3;Bélgica;Las Canteras - Luis Morote;9;12;18;0;9;9;12;20;21;9; 02:21:00
13;Rumanía;C.C. El Muelle;30;12;13;17;28;30;12;15;37;13; 02:19:45
1;Alemania;Parque del Estadio Insular;5;12;7;8;11;5;12;9;27;33; 02:19:22
1;Alemania;Parque Santa Catalina;29;12;18;1;43;29;12;20;18;3; 02:16:20
10;Francia;Plaza de la feria;27;12;13;30;1;27;12;15;44;3; 02:14:02
9;Países Bajos;San Telmo;20;12;16;57;18;20;12;19;11;4; 02:13:46
18;Polonia;San Telmo;27;12;13;3;13;27;12;15;16;15; 02:13:02
11;Reino Unido;Parque Santa Catalina;24;12;9;22;41;24;12;11;33;48; 02:11:07
20;Hungría;C.C. El Muelle;21;12;10;49;47;21;12;13;0;31; 02:10:44
12;Suecia;Mercado Central;21;12;14;52;12;21;12;17;1;36; 02:09:24
12;Suecia;Plaza de España;24;12;15;35;6;24;12;17;43;35; 02:08:29
20;Hungría;C.C. El Muelle;21;12;10;53;18;21;12;13;0;35; 02:07:17
1;Alemania;Plaza de España (elect.);30;12;13;21;41;30;12;15;27;0; 02:05:19
16;Irlanda;Cabildo de Gran Canaria;16;12;17;12;30;16;12;19;17;34; 02:05:04
18;Polonia;Oficina Sítycleta (elect.);26;12;15;5;34;26;12;17;9;10; 02:03:36
9;Países Bajos;Oficina Sítycleta (elect.);26;12;15;5;44;26;12;17;9;8; 02:03:24
6;Dinamarca;Plaza de España (elect.);24;12;13;26;26;24;12;15;24;22; 01:57:56
11;Reino Unido;Parque Santa Catalina;6;12;17;49;30;6;12;19;45;9; 01:55:39
6;Dinamarca;Plaza de España (elect.);24;12;13;29;33;24;12;15;24;26; 01:54:53
17;Suiza;Aparcamiento Sanapú;2;12;10;51;42;2;12;12;46;2; 01:54:20
17;Suiza;Aparcamiento Sanapú;2;12;10;51;49;2;12;12;46;3; 01:54:14
15;Italia;Muelle Deportivo;30;12;11;10;31;30;12;13;4;18; 01:53:47
18;Polonia;Plaza San Agustín;10;12;13;4;13;10;12;14;56;37; 01:52:24
1;Alemania;Parque del Estadio Insular;3;12;16;1;20;3;12;17;53;31; 01:52:11
14;Finlandia;Parque Santa Catalina;14;12;19;54;45;14;12;21;46;52; 01:52:07
1;Alemania;Plaza de la feria;25;12;13;57;35;25;12;15;49;11; 01:51:36
1;Alemania;Plazoleta de Farray;31;12;12;58;29;31;12;14;48;8; 01:49:39
1;Alemania;Plazoleta de Farray;31;12;12;58;41;31;12;14;48;4; 01:49:23
6;Dinamarca;San Telmo;8;12;12;0;11;8;12;13;45;57; 01:45:46
20;Hungría;C.C. El Muelle;21;12;10;53;14;21;12;12;38;44; 01:45:30
26;USA / Canada;Parque Santa Catalina;27;12;12;59;4;27;12;14;43;37; 01:44:33
6;Dinamarca;San Telmo;8;12;12;1;29;8;12;13;45;42; 01:44:13
11;Reino Unido;Base Naval;12;12;19;5;48;12;12;20;49;37; 01:43:49
2;Austria;Las Canteras - Luis Morote;27;12;15;23;28;27;12;17;6;6; 01:42:38
1;Alemania;Plaza de España;22;12;11;57;26;22;12;13;39;28; 01:42:02
1;Alemania;C.C. El Muelle;31;12;12;33;2;31;12;14;13;20; 01:40:18
1;Alemania;Gabinete Literario;25;12;12;37;22;25;12;14;17;9; 01:39:47
