id_country,start_place,start_day,start_h,prec,presMax,presMin,tmax,tmed,tmin,velmedia
18,Plazoleta de Farray,13,20,0.0,1017.2,1015.0,25.0,22.2,19.4,1.1
20,C.C. El Muelle,2,12,1.1,1012.9,1008.8,23.0,20.7,18.4,3.3
14,Plaza de España (elect.),27,11,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
11,Teatro Pérez Galdós,27,22,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
11,Churruca,30,22,0.0,1022.1,1019.5,24.9,22.5,20.1,1.9
19,Parque del Estadio Insular,7,22,0.8,1010.9,1005.6,22.7,20.8,19.0,1.1
18,Base Naval,18,14,0.0,1020.5,1017.1,23.0,20.6,18.3,1.4
19,Parque Santa Catalina,26,11,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5
19,Base Naval,21,11,0.0,1026.0,1022.6,23.5,20.6,17.7,0.8
11,C.C. El Muelle,4,15,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
11,Plaza de España (elect.),5,11,0.4,1015.0,1006.1,24.2,22.0,19.9,1.4
7,Parque Santa Catalina,26,12,0.0,1013.2,1009.9,23.2,20.4,17.7,2.5
26,Parque Santa Catalina,13,17,0.0,1017.2,1015.0,25.0,22.2,19.4,1.1
26,Parque Santa Catalina,13,17,0.0,1017.2,1015.0,25.0,22.2,19.4,1.1
11,Plaza de España (elect.),4,11,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
17,Torre Las Palmas,1,12,3.1,1015.7,1012.0,22.3,20.6,19.0,2.8
15,Plaza de la feria,4,6,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
1,Plaza del Pilar,14,8,0.0,1016.4,1013.7,24.6,22.2,19.8,1.7
17,Castillo de Mata (elect.),14,12,0.0,1016.4,1013.7,24.6,22.2,19.8,1.7
11,Plaza de España (elect.),5,11,0.4,1015.0,1006.1,24.2,22.0,19.9,1.4
18,Las Canteras - Luis Morote,25,16,0.0,1019.5,1013.1,24.7,20.8,17.0,1.7
13,Plaza de la feria,20,17,0.0,1024.1,1019.6,23.7,21.0,18.2,1.4
25,Torre Woermann,27,11,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
2,Plaza de la feria,15,10,4.0,1016.9,1014.0,23.2,21.6,19.9,2.8
25,Torre Woermann,27,11,0.0,1019.7,1012.0,22.5,21.1,19.7,4.7
11,Plazoleta de Farray,2,14,1.1,1012.9,1008.8,23.0,20.7,18.4,3.3
16,Torre Woermann,22,13,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
16,Torre Woermann,22,13,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
1,Mercado Central,2,11,1.1,1012.9,1008.8,23.0,20.7,18.4,3.3
16,Torre Woermann,22,13,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
15,San Telmo,4,16,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
8,León y Castillo,17,9,0.0,1018.4,1015.5,22.9,20.8,18.7,1.1
11,Castillo de Mata (elect.),4,12,0.0,1007.7,1004.9,23.0,20.1,17.2,1.1
16,Torre Woermann,22,13,0.0,1025.5,1022.2,23.8,21.0,18.3,1.1
